id,fullName,points(2020-2021),average(2018-2021)
8479369,Andrew Peeke,4,7.666666666666667
8479402,Jake Bean,12,34.666666666666664
8479945,Gavin Bayreuther,12,14.0
8480871,Adam Boqvist,16,11.666666666666666
8481072,Tim Berni,7,5.0
8481161,Jacob Christiansen,15,21.666666666666668
8482247,Mikko Lehtonen,17,7.666666666666667
8482453,Ole Julian Bjorgvik-Holm,5,5.0
8482711,Stanislav Svozil,0,0.6666666666666666
8471274,Alex Goligoski,22,27.0
8474716,Jared Spurgeon,25,33.333333333333336
8474818,Jordie Benn,1,5.666666666666667
8475179,Dmitry Kulikov,2,4.666666666666667
8475750,Jon Merrill,0,4.0
8476463,Jonas Brodin,23,23.0
8476856,Matt Dumba,21,22.333333333333332
8477541,Dakota Mermis,0,7.666666666666667
8480884,Calen Addison,22,10.333333333333334
8476470,Nathan Beaulieu,1,4.666666666666667
8475455,Brenden Dillon,19,11.0
8476331,Dylan DeMelo,9,6.333333333333333
8477220,Nate Schmidt,15,25.333333333333332
8477504,Josh Morrissey,21,27.666666666666668
8478031,Nelson Nogier,3,7.0
8479378,Logan Stanley,4,12.0
8480049,Dylan Samberg,7,15.666666666666666
8480145,Neal Pionk,32,34.333333333333336
8480990,Declan Chisholm,13,43.333333333333336
8481547,Simon Lundmark,1,4.333333333333333
8481572,Ville Heinola,4,9.666666666666666
8482920,Dmitry Kuzmin,12,8.0
8471873,Anton Stralman,9,15.0
8476906,Shayne Gostisbehere,20,11.0
8478476,Kyle Capobianco,13,16.666666666666668
8479345,Jakob Chychrun,41,29.0
8479982,Conor Timmins,4,12.666666666666666
8480950,Ilya Lyubushkin,0,0.6666666666666666
8482629,Vladislav Provolnev,20,10.666666666666666
8474166,Alec Martinez,32,16.0
8474565,Alex Pietrangelo,23,38.666666666666664
8475188,Brayden McNabb,8,11.0
8477447,Shea Theodore,42,31.666666666666668
8479639,Dylan Coghlan,6,23.333333333333332
8479980,Nicolas Hague,17,12.666666666666666
8480727,Zach Whitecloud,12,6.666666666666667
8480993,Connor Corcoran,0,19.0
8481075,Peter Diliberatore,2,14.333333333333334
8481167,Brayden Pachal,7,6.333333333333333
8481613,Layton Ahac,2,4.666666666666667
8481849,Zack Hayes,7,19.0
8482141,Lukas Cormier,54,30.0
8482624,Daniil Miromanov,0,17.0
8470966,Mark Giordano,26,43.666666666666664
8476457,Adam Larsson,10,6.666666666666667
8476467,Jamie Oleksiak,14,8.333333333333334
8476941,Connor Carrick,6,2.6666666666666665
8477369,Carson Soucy,17,17.0
8477467,Gustav Olofsson,12,9.333333333333334
8477938,Haydn Fleury,3,6.0
8478407,Vince Dunn,20,26.0
8478468,Jeremy Lauzon,8,7.666666666666667
8478840,Will Borgen,0,8.333333333333334
8479395,Dennis Cholowski,10,8.666666666666666
8479985,Cale Fleury,6,4.0
